[0.000000] (-) TimerEvent: {}
[0.000174] (-) JobUnselected: {'identifier': 'a1_controller'}
[0.000219] (-) JobUnselected: {'identifier': 'a1_gazebo'}
[0.000295] (-) JobUnselected: {'identifier': 'a1_joint_control'}
[0.000332] (-) JobUnselected: {'identifier': 'a1_msgs'}
[0.000370] (a1_description) JobQueued: {'identifier': 'a1_description', 'dependencies': OrderedDict()}
[0.000409] (a1_description) JobStarted: {'identifier': 'a1_description'}
[0.009554] (a1_description) JobProgress: {'identifier': 'a1_description', 'progress': 'cmake'}
[0.024574] (a1_description) JobProgress: {'identifier': 'a1_description', 'progress': 'build'}
[0.025328] (a1_description) Command: {'cmd': ['/usr/bin/cmake', '--build', '/root/try/a1_ros2_simulation/build/a1_description', '--', '-j4', '-l4'], 'cwd': '/root/try/a1_ros2_simulation/build/a1_description', 'env': OrderedDict([('SUDO_GID', '1000'), ('LESSOPEN', '| /usr/bin/lesspipe %s'), ('MAIL', '/var/mail/root'), ('USER', 'root'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/root/try/a1_ros2_simulation/install/a1_msgs/lib:/usr/lib/x86_64-linux-gnu/gazebo-11/plugins:/opt/ros/foxy/opt/yaml_cpp_vendor/lib:/opt/ros/foxy/opt/rviz_ogre_vendor/lib:/opt/ros/foxy/lib/x86_64-linux-gnu:/opt/ros/foxy/lib'), ('HOME', '/root'), ('OLDPWD', '/root/try'), ('ROS_PYTHON_VERSION', '3'), ('COLORTERM', 'truecolor'), ('COLCON_PREFIX_PATH', '/root/try/a1_ros2_simulation/install'), ('SUDO_UID', '1000'), ('ROS_DISTRO', 'foxy'), ('LOGNAME', 'root'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('TERM', 'xterm-256color'), ('ROS_LOCALHOST_ONLY', '0'), ('PATH', '/opt/ros/foxy/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin'), ('DISPLAY', ':0'), ('LANG', 'en_US.UTF-8'), ('XAUTHORITY', '/run/user/1000/gdm/Xauthority'), ('LS_COLORS', 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:'), ('SUDO_COMMAND', '/usr/bin/su root'), ('AMENT_PREFIX_PATH', '/root/try/a1_ros2_simulation/install/a1_joint_control:/root/try/a1_ros2_simulation/install/a1_gazebo:/root/try/a1_ros2_simulation/install/a1_controller:/root/try/a1_ros2_simulation/install/a1_description:/root/try/a1_ros2_simulation/install/a1_msgs:/opt/ros/foxy'), ('SHELL', '/bin/bash'), ('SUDO_USER', 'guo'), ('LESSCLOSE', '/usr/bin/lesspipe %s %s'), ('PWD', '/root/try/a1_ros2_simulation/build/a1_description'), ('LC_ALL', 'en_US.UTF-8'), ('PYTHONPATH', '/root/try/a1_ros2_simulation/install/a1_msgs/lib/python3.8/site-packages:/opt/ros/foxy/lib/python3.8/site-packages'), ('COLCON', '1'), ('CMAKE_PREFIX_PATH', '/root/try/a1_ros2_simulation/install/a1_joint_control:/root/try/a1_ros2_simulation/install/a1_gazebo:/root/try/a1_ros2_simulation/install/a1_controller:/root/try/a1_ros2_simulation/install/a1_description:/root/try/a1_ros2_simulation/install/a1_msgs:/opt/ros/foxy')]), 'shell': False}
[0.076830] (a1_description) CommandEnded: {'returncode': 0}
[0.097055] (a1_description) JobProgress: {'identifier': 'a1_description', 'progress': 'install'}
[0.099004] (-) TimerEvent: {}
[0.107777] (a1_description) Command: {'cmd': ['/usr/bin/cmake', '--install', '/root/try/a1_ros2_simulation/build/a1_description'], 'cwd': '/root/try/a1_ros2_simulation/build/a1_description', 'env': OrderedDict([('SUDO_GID', '1000'), ('LESSOPEN', '| /usr/bin/lesspipe %s'), ('MAIL', '/var/mail/root'), ('USER', 'root'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/root/try/a1_ros2_simulation/install/a1_msgs/lib:/usr/lib/x86_64-linux-gnu/gazebo-11/plugins:/opt/ros/foxy/opt/yaml_cpp_vendor/lib:/opt/ros/foxy/opt/rviz_ogre_vendor/lib:/opt/ros/foxy/lib/x86_64-linux-gnu:/opt/ros/foxy/lib'), ('HOME', '/root'), ('OLDPWD', '/root/try'), ('ROS_PYTHON_VERSION', '3'), ('COLORTERM', 'truecolor'), ('COLCON_PREFIX_PATH', '/root/try/a1_ros2_simulation/install'), ('SUDO_UID', '1000'), ('ROS_DISTRO', 'foxy'), ('LOGNAME', 'root'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('TERM', 'xterm-256color'), ('ROS_LOCALHOST_ONLY', '0'), ('PATH', '/opt/ros/foxy/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin'), ('DISPLAY', ':0'), ('LANG', 'en_US.UTF-8'), ('XAUTHORITY', '/run/user/1000/gdm/Xauthority'), ('LS_COLORS', 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:'), ('SUDO_COMMAND', '/usr/bin/su root'), ('AMENT_PREFIX_PATH', '/root/try/a1_ros2_simulation/install/a1_joint_control:/root/try/a1_ros2_simulation/install/a1_gazebo:/root/try/a1_ros2_simulation/install/a1_controller:/root/try/a1_ros2_simulation/install/a1_description:/root/try/a1_ros2_simulation/install/a1_msgs:/opt/ros/foxy'), ('SHELL', '/bin/bash'), ('SUDO_USER', 'guo'), ('LESSCLOSE', '/usr/bin/lesspipe %s %s'), ('PWD', '/root/try/a1_ros2_simulation/build/a1_description'), ('LC_ALL', 'en_US.UTF-8'), ('PYTHONPATH', '/root/try/a1_ros2_simulation/install/a1_msgs/lib/python3.8/site-packages:/opt/ros/foxy/lib/python3.8/site-packages'), ('COLCON', '1'), ('CMAKE_PREFIX_PATH', '/root/try/a1_ros2_simulation/install/a1_joint_control:/root/try/a1_ros2_simulation/install/a1_gazebo:/root/try/a1_ros2_simulation/install/a1_controller:/root/try/a1_ros2_simulation/install/a1_description:/root/try/a1_ros2_simulation/install/a1_msgs:/opt/ros/foxy')]), 'shell': False}
[0.120499] (a1_description) StdoutLine: {'line': b'-- Install configuration: ""\n'}
[0.126699] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/launch\n'}
[0.127762] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/launch/model.sdf\n'}
[0.127865] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/launch/dd.launch.py\n'}
[0.128000] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/launch/demo.launch.py\n'}
[0.128137] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/launch/model.config\n'}
[0.128237] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/launch/normal.launch.py\n'}
[0.128367] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/urdf\n'}
[0.129129] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/urdf/model.sdf\n'}
[0.129272] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/urdf/a1.urdf.xml\n'}
[0.129348] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/urdf/a1_description.gv\n'}
[0.129541] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/urdf/a1.urdf\n'}
[0.129616] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/urdf/a1_description.pdf\n'}
[0.129690] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/urdf/model.config\n'}
[0.129971] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/xacro\n'}
[0.130236] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/xacro/a1.normal\n'}
[0.130300] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/xacro/model.sdf\n'}
[0.130357] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/xacro/a1.backup\n'}
[0.130411] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/xacro/a1.ros2_control.xacro.bak\n'}
[0.130465] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/xacro/a1.ros2_control.xacro\n'}
[0.130518] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/xacro/leg.xacro\n'}
[0.130571] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/xacro/robot.xacro\n'}
[0.130631] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/xacro/model.config\n'}
[0.130700] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/xacro/transmission.xacro\n'}
[0.130872] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/xacro/const.xacro\n'}
[0.130947] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/xacro/materials.xacro\n'}
[0.131047] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/xacro/gazebo.xacro\n'}
[0.131112] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/xacro/stairs.xacro\n'}
[0.131165] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/meshes\n'}
[0.131218] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/meshes/calf.dae\n'}
[0.131270] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/meshes/thigh.dae\n'}
[0.131327] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/meshes/thigh_mirror.dae\n'}
[0.131380] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/meshes/trunk_A1.png\n'}
[0.131432] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/meshes/trunk.dae\n'}
[0.131500] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/meshes/hip.dae\n'}
[0.131579] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/rviz\n'}
[0.131716] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/rviz/model.sdf\n'}
[0.131779] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/rviz/nav2_default_view.rviz\n'}
[0.131851] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/rviz/model.config\n'}
[0.131920] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/rviz/check_joint.rviz\n'}
[0.132034] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/config\n'}
[0.132090] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/config/robot_control.yaml.first\n'}
[0.132153] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/config/robot_control.yaml.bak\n'}
[0.132216] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/config/robot_control.yaml.ll\n'}
[0.132329] (a1_description) StdoutLine: {'line': b'-- Installing: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/config/robot_control.yaml\n'}
[0.132463] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/models\n'}
[0.132938] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/models/model.sdf\n'}
[0.133030] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/models/meshes\n'}
[0.133479] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/models/meshes/calf.dae\n'}
[0.133610] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/models/meshes/thigh.dae\n'}
[0.133753] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/models/meshes/thigh_mirror.dae\n'}
[0.133818] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/models/meshes/trunk_A1.png\n'}
[0.133880] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/models/meshes/trunk.dae\n'}
[0.133934] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/models/meshes/hip.dae\n'}
[0.133988] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/models/model.config\n'}
[0.134258] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/ament_index/resource_index/package_run_dependencies/a1_description\n'}
[0.134659] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/ament_index/resource_index/parent_prefix_path/a1_description\n'}
[0.134800] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/environment/ament_prefix_path.sh\n'}
[0.135317] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/environment/ament_prefix_path.dsv\n'}
[0.135511] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/environment/path.sh\n'}
[0.135742] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/environment/path.dsv\n'}
[0.135892] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/local_setup.bash\n'}
[0.135982] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/local_setup.sh\n'}
[0.136044] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/local_setup.zsh\n'}
[0.137113] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/local_setup.dsv\n'}
[0.137335] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/package.dsv\n'}
[0.137477] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/ament_index/resource_index/packages/a1_description\n'}
[0.138082] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/cmake/a1_descriptionConfig.cmake\n'}
[0.138176] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/cmake/a1_descriptionConfig-version.cmake\n'}
[0.138340] (a1_description) StdoutLine: {'line': b'-- Up-to-date: /root/try/a1_ros2_simulation/install/a1_description/share/a1_description/package.xml\n'}
[0.140757] (a1_description) CommandEnded: {'returncode': 0}
